date,total_population,total_infected,new_infection_cases,total_death,new_death_cases,total_recovered,new_recovered_cases,stil_infected
2021-04-22,414880000,1990353,16235,41266,470,1533303,18831,415784
2021-04-23,414880000,2004630,14277,41700,434,1552267,18964,410663
2021-04-24,414880000,2017341,12711,42092,392,1565954,13687,409295
2021-04-25,414880000,2025271,7930,42323,231,1572528,6574,410420
2021-04-26,414880000,2030333,5062,42518,195,1579438,6910,408377
2021-04-27,414880000,2038248,7915,42950,432,1596829,17391,398469
2021-04-28,414880000,2047838,9590,43391,441,1616891,20062,387556
2021-04-29,414880000,2059465,11627,43778,387,1635333,18442,380354
2021-04-30,414880000,2069537,10072,44085,307,1655525,20192,369927
2021-05-01,414426000,2078086,8549,44436,351,1670481,14956,363169
2021-05-02,414426000,2083180,5094,44596,160,1676265,5784,362319
2021-05-03,414426000,2085938,2758,44750,154,1681815,5550,359373
2021-05-04,414426000,2088410,2472,44916,166,1689630,7815,353864
2021-05-05,414426000,2090986,2576,45077,161,1697358,7728,348551
2021-05-06,414426000,2097024,6038,45451,374,1711709,14351,339864
2021-05-07,414426000,2105428,8404,45830,379,1731162,19453,328436
2021-05-08,414426000,2114138,8710,46200,370,1750570,19408,317368
2021-05-09,414426000,2119510,5372,46393,193,1759751,9181,313366
2021-05-10,414426000,2122327,2817,46512,119,1768753,9002,307062
2021-05-11,414426000,2124535,2208,46631,119,1777370,8617,300534
2021-05-12,414426000,2129073,4538,46987,356,1797136,19766,284950
2021-05-13,414426000,2135886,6813,47333,346,1816643,19507,271910
2021-05-14,414426000,2143448,7562,47620,287,1832601,15958,263227
2021-05-15,414426000,2150244,6796,47942,322,1849803,17202,252499
2021-05-16,414426000,2153864,3620,48075,133,1857724,7921,248065
2021-05-17,414426000,2156000,2136,48184,109,1864593,6869,243223
2021-05-18,414426000,2160095,4095,48469,285,1882344,17751,229282
2021-05-19,414426000,2165233,5138,48696,227,1899446,17102,217091
2021-05-20,414426000,2170398,5165,48899,203,1916194,16748,205305
2021-05-21,414426000,2175382,4984,49101,202,1929039,12845,197242
2021-05-22,414426000,2179988,4606,49279,178,1941625,12586,189084
2021-05-23,414426000,2182521,2533,49368,89,1950562,8937,182591
2021-05-24,414426000,2183855,1334,49436,68,1957560,6999,176859
2021-05-25,414426000,2186463,2608,49685,249,1975064,17504,161714
2021-05-26,414426000,2189858,3395,49893,208,1990051,14987,149914
2021-05-27,414426000,2193367,3509,50076,183,2006918,16867,136373
2021-05-28,414426000,2196673,3306,50232,156,2020216,13298,126225
2021-05-29,414426000,2199769,3096,50388,156,2030415,10199,118966
2021-05-30,414426000,2201472,1703,50472,84,2036148,5733,114852
2021-05-31,414426000,2202494,1022,50536,64,2041082,4934,110876
2021-06-01,414082000,2204631,2137,50699,163,2053167,12085,100765
2021-06-02,414082000,2206836,2205,50857,158,2062572,9405,93407
2021-06-03,414082000,2209417,2581,50959,102,2072091,9519,86367
2021-06-04,414082000,2211683,2266,51054,95,2080382,8291,80247
2021-06-05,414082000,2213580,1897,51140,86,2088712,8330,73728
2021-06-06,414082000,2214517,937,51182,42,2093228,4516,70107
2021-06-07,414082000,2215052,535,51215,33,2094971,1743,68866
2021-06-08,414082000,2216654,1602,51333,118,2101722,6751,63599
2021-06-09,414082000,2218039,1385,51410,77,2108684,6962,57945
