date,total_population,total_vaccinated,new_vaccinated,vaccinated_percentage,fully_vaccinated,new_fully_vaccinated,fully_vaccinated_percentage
2021-11-15,1141000,299058,2501,026.21 %,210846,6175,018.48 %
2021-11-16,1141000,301243,2185,026.40 %,217365,6519,019.05 %
2021-11-17,1141000,303444,2201,026.60 %,225774,8409,019.79 %
2021-11-18,1141000,305927,2483,026.81 %,233969,8195,020.51 %
2021-11-19,1141000,308445,2518,027.04 %,242044,8075,021.22 %
2021-11-20,1141000,309896,1451,027.16 %,246606,4562,021.62 %
2021-11-21,1141000,311922,2026,027.34 %,250714,4108,021.98 %
2021-11-22,1141000,314411,2489,027.56 %,255846,5132,022.42 %
2021-11-23,1141000,317078,2667,027.79 %,261670,5824,022.94 %
2021-11-24,1141000,319454,2376,028.00 %,267154,5484,023.42 %
2021-11-25,1141000,322660,3206,028.28 %,272495,5341,023.88 %
2021-11-26,1141000,325254,2594,028.51 %,277923,5428,024.36 %
2021-11-27,1141000,326780,1526,028.64 %,280321,2398,024.57 %
2021-11-28,1141000,328985,2205,028.84 %,282338,2017,024.75 %
2021-11-29,1141000,332522,3537,029.15 %,286695,4357,025.13 %
2021-11-30,1141000,335384,2862,029.40 %,291316,4621,025.53 %
2021-12-01,1141000,337332,1948,029.57 %,294990,3674,025.86 %
2021-12-02,1141000,339567,2235,029.76 %,298299,3309,026.15 %
2021-12-03,1141000,342168,2601,029.99 %,301911,3612,026.46 %
2021-12-04,1141000,343752,1584,030.13 %,303330,1419,026.59 %
2021-12-05,1141000,345453,1701,030.28 %,304190,860,026.66 %
2021-12-06,1141000,348247,2794,030.52 %,306428,2238,026.86 %
2021-12-07,1141000,350298,2051,030.70 %,309489,3061,027.13 %
2021-12-08,1141000,351666,1368,030.82 %,312856,3367,027.42 %
2021-12-09,1141000,353115,1449,030.95 %,316251,3395,027.72 %
2021-12-10,1141000,354447,1332,031.07 %,319325,3074,027.99 %
2021-12-11,1141000,354949,502,031.11 %,321269,1944,028.16 %
2021-12-12,1141000,355214,265,031.13 %,322772,1503,028.29 %
2021-12-13,1141000,356174,960,031.22 %,326408,3636,028.61 %
